sex,age,exp,q28,q29,q30,q31,q32,q40_1,q40_2,q40_3,q40_4,q40_5,q16_part
1,34,1,1,1,0,0,7,0,1,1,1,1,5
2,57,4,0,1,0,1,6,0,0,0,1,0,1
2,43,3,1,1,0,0,5,0,0,0,1,1,1
2,31,4,1,1,0,0,4,1,1,1,1,1,5
1,21,1,1,1,1,0,4,1,0,1,1,1,5
1,51,2,1,1,1,0,5,0,0,1,1,1,1
1,45,3,0,0,1,0,4,0,0,1,1,1,5
1,63,1,0,1,1,0,4,0,0,1,1,1,1
1,64,2,0,1,0,0,2,0,1,1,1,0,4
1,64,3,1,1,1,0,3,0,0,1,1,0,5
1,31,2,1,1,0,0,6,0,1,1,1,1,1
2,51,2,1,1,1,1,7,0,0,1,1,1,3
2,52,3,1,1,1,1,6,1,1,1,1,1,5
2,23,4,1,1,0,0,6,1,1,1,1,1,5
1,55,3,0,1,1,0,6,1,1,1,1,1,5
2,40,1,0,1,1,0,6,0,0,1,1,1,3
2,65,2,1,1,1,1,6,0,1,1,1,1,5
2,63,1,1,1,0,0,5,0,0,1,1,0,3
2,53,3,1,1,0,0,5,0,0,0,1,0,5
2,33,4,1,1,0,0,5,0,0,1,1,1,1
2,30,1,1,0,0,0,5,0,1,0,1,1,1
1,66,3,1,1,1,0,5,0,0,1,1,1,3
2,39,4,1,0,0,0,6,0,0,1,1,0,5
1,40,1,1,1,1,1,5,0,0,1,1,1,5
1,36,3,1,1,1,1,5,0,0,1,1,0,1
2,61,2,1,1,1,1,7,0,0,0,1,1,5
2,40,4,1,1,0,1,6,1,0,1,1,1,5
2,68,2,0,1,1,1,6,0,0,0,1,1,3
2,65,3,1,1,0,0,6,0,1,1,1,1,5
2,47,4,0,1,0,0,6,0,1,1,1,1,5
1,55,1,1,1,0,1,4,0,1,1,1,1,1
1,63,4,1,1,1,1,7,0,0,1,1,1,1
1,36,1,1,1,1,0,4,0,1,1,1,1,3
1,22,2,1,1,0,0,5,0,0,1,1,1,1
2,40,4,0,1,1,1,6,0,1,1,1,1,1
2,24,3,1,1,0,0,6,0,0,0,1,1,5
1,59,3,1,1,0,0,6,0,1,1,1,1,5
1,47,4,1,1,1,0,5,0,0,1,1,0,3
1,32,1,0,1,1,0,4,0,1,1,1,1,5
2,56,2,1,1,1,0,6,1,1,1,1,1,2
2,41,4,1,1,1,0,6,1,1,1,1,1,1
2,63,3,0,0,0,0,4,0,0,0,1,0,5
2,60,1,1,1,0,0,5,0,0,1,1,0,1
2,67,4,1,0,0,0,5,0,1,1,1,1,5
2,57,1,1,1,1,1,6,0,1,1,1,1,3
2,31,2,1,1,1,0,6,0,0,1,1,1,5
2,80,3,1,0,0,0,3,0,0,1,1,1,3
1,46,3,1,0,1,1,6,0,0,1,1,1,5
1,33,3,1,0,0,0,3,0,0,0,1,0,3
2,57,4,0,1,1,0,6,0,1,1,1,1,5
2,34,1,1,1,1,1,4,0,0,1,1,1,2
2,36,2,0,1,0,0,5,0,0,1,1,1,3
2,29,3,1,1,0,0,6,0,1,1,1,0,5
1,60,4,1,1,1,0,6,1,1,1,1,1,5
1,60,2,1,1,1,0,5,0,0,1,1,1,1
1,62,1,1,1,0,0,4,1,0,1,1,1,5
1,36,2,1,1,1,0,7,0,0,1,1,1,4
1,48,2,1,1,1,0,6,0,1,1,1,1,1
1,36,1,1,1,0,0,4,0,1,1,1,1,5
1,60,3,1,1,1,0,5,0,0,0,1,0,5
2,36,1,1,1,0,0,5,0,0,1,1,1,5
2,40,2,0,0,0,0,5,0,0,0,1,0,3
2,64,3,1,1,1,1,6,0,0,1,1,0,5
2,62,4,1,1,0,0,6,0,0,1,1,1,5
1,69,4,1,1,1,1,6,0,1,1,1,1,3
1,41,1,1,1,1,1,6,1,1,1,1,1,1
2,58,4,1,1,1,1,6,0,0,1,1,0,3
2,79,2,1,1,0,1,6,0,0,1,1,0,5
2,37,2,1,1,0,0,6,1,0,1,1,1,5
2,24,3,1,1,1,0,7,0,0,1,1,1,5
2,39,4,1,1,0,1,5,0,1,1,1,1,1
2,54,1,1,0,0,0,4,0,0,1,1,1,5
2,58,3,1,1,0,0,5,0,0,1,1,1,1
1,51,4,1,1,1,0,7,1,0,1,1,1,5
1,41,1,1,0,1,0,5,0,1,1,1,1,5
1,41,2,0,1,0,0,4,0,0,0,1,0,1
2,53,1,0,0,0,0,5,1,0,1,1,1,3
2,26,2,1,1,0,1,6,0,0,1,1,1,1
2,30,1,1,1,0,0,6,0,1,1,1,1,5
2,33,2,1,0,0,0,7,1,1,1,1,0,5
2,23,2,1,1,0,0,6,0,0,1,1,1,5
2,61,3,1,1,1,1,6,0,0,1,1,1,5
1,61,4,0,1,1,0,6,0,0,1,1,0,5
1,41,3,1,1,0,0,5,0,0,1,1,1,5
1,29,3,1,1,1,0,5,0,0,1,1,1,5
1,74,4,1,1,1,0,5,0,0,1,1,0,5
1,54,1,1,1,1,1,6,0,0,1,1,1,5
2,58,2,1,0,0,0,6,1,0,1,1,0,1
1,34,2,1,1,1,1,6,0,1,1,1,1,1
1,22,3,1,1,1,0,4,0,0,1,1,0,1
2,74,3,1,0,0,0,3,0,0,0,1,0,3
1,86,4,1,1,0,1,6,0,0,0,0,0,5
2,23,4,1,1,0,1,6,0,0,1,1,1,5
1,60,1,1,0,0,0,3,0,0,1,1,0,5
1,26,4,0,1,1,0,6,0,0,1,1,1,5
2,54,2,1,1,0,0,4,1,1,1,1,1,5
2,29,1,1,1,0,0,5,0,1,1,1,0,5
2,35,4,0,0,0,0,5,0,0,1,1,0,1
1,28,2,1,1,0,0,6,0,1,1,1,0,5
1,33,3,1,1,1,1,4,0,0,1,1,1,5
2,31,3,1,0,0,0,6,0,0,1,1,1,1
2,25,4,1,0,0,0,5,0,1,1,1,1,5
2,24,3,1,0,0,0,5,0,1,1,1,1,5
1,54,4,1,1,0,1,4,1,0,1,1,1,1
1,24,1,1,1,1,0,6,1,0,1,1,1,5
1,25,1,0,0,0,0,6,0,0,1,1,1,1
1,28,2,1,1,1,1,6,0,1,1,1,1,5
2,63,3,1,1,0,0,4,1,0,0,1,1,5
2,74,2,1,1,0,0,4,0,0,0,0,0,5
2,83,4,1,0,0,0,5,0,0,1,0,0,5
2,62,3,1,1,0,0,5,0,0,1,1,1,4
2,35,1,1,1,1,0,6,0,0,1,1,1,5
2,58,2,0,1,1,0,4,1,0,1,1,1,5
2,70,3,1,1,0,0,4,0,0,1,1,0,5
2,32,4,0,0,0,0,4,0,0,1,1,1,1
